Projectile Name,Level,Interval,Speed,Drag,Damage,Life Time,Pierce,Projectile Count,Time Between Shots,Spread
Ball,1,30,15,0,1,60,1,1,0,0
Ball,2,25,15,0,2,60,1,1,0,0
Ball,3,25,15,0,3,60,1,2,3,0
Ball,4,20,15,0,4,60,2,2,3,0
Ball,5,20,15,0,4,60,2,3,3,0
Ball,6,15,15,0,6,60,2,3,3,0
Barrage,1,180,10,8,2,90,2,4,6,45
Barrage,2,150,10,8,3,90,3,4,6,45
Barrage,3,150,10,8,4,90,3,6,6,45
Barrage,4,120,10,8,6,90,4,6,6,45
Barrage,5,120,10,8,6,90,5,8,5,45
Barrage,6,90,10,8,8,90,6,8,5,45
Laser,1,60,40,0,2,60,-1,1,0,0
Laser,2,60,40,0,2,60,-1,2,0,0
Laser,3,50,40,0,4,60,-1,2,0,0
Laser,4,45,40,0,4,60,-1,3,0,0
Laser,5,40,40,0,6,60,-1,3,0,0
Laser,6,30,40,0,8,60,-1,3,0,0
Dark Aura,1,1,1.5,0,.1,1,-1,1,0,0
Dark Aura,2,1,2,0,.1,1,-1,1,0,0
Dark Aura,3,1,2,0,.2,1,-1,1,0,0
Dark Aura,4,1,2.5,0,.2,1,-1,1,0,0
Dark Aura,5,1,2.5,0,.4,1,-1,1,0,0
Dark Aura,6,1,3,0,.6,1,-1,1,0,0
Fireball,1,180,10,0,3,45,-1,1,0,0
Fireball,2,150,10,0,5,45,-1,1,0,0
Fireball,3,150,10,0,8,45,-1,1,0,0
Fireball,4,120,10,0,10,45,-1,1,0,0
Fireball,5,120,10,0,10,45,-1,2,10,0
Fireball,6,120,10,0,15,45,-1,2,10,0
Splitter,1,240,8,0,2,45,2,1,0,0
Splitter,2,240,8,0,4,45,4,1,0,0
Splitter,3,210,8,0,4,45,4,1,0,0
Splitter,4,180,8,0,6,45,4,1,0,0
Splitter,5,180,8,0,8,45,6,1,0,0
Splitter,6,150,8,0,8,45,6,1,0,0
Shotgun,1,90,12,0,1,45,1,5,0,60
Shotgun,2,90,12,0,2,45,2,5,0,45
Shotgun,3,75,12,0,2,45,2,9,0,45
Shotgun,4,60,12,0,3,45,3,9,0,45
Shotgun,5,50,12,0,3,45,3,13,0,45
Shotgun,6,50,12,0,5,45,4,13,0,45
